"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Downloads\HCMUT-Study\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 6, 13
"c:\Users\Admin\Downloads\HCMUT-Study\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Admin\Downloads\HCMUT-Study\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Admin\Downloads\HCMUT-Study\package-lock.json", "JSON", 0, 0, 0, 3822, 0, 0, 0, 1, 3823
"c:\Users\Admin\Downloads\HCMUT-Study\package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\Admin\Downloads\HCMUT-Study\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Downloads\HCMUT-Study\src\App.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 1, 4, 36
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\CancelModal.jsx", "JavaScript JSX", 0, 0, 136, 0, 0, 0, 3, 10, 149
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\ExpiredTimeModal.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\HeaderFooterNav\Footer.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 4, 68
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\HeaderFooterNav\Header.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 11, 96
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\HeaderFooterNav\NavigationBar.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 0, 7, 60
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\HomepageProfileCard.jsx", "JavaScript JSX", 0, 0, 169, 0, 0, 0, 11, 14, 194
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\HomepageScheduleCard.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 2, 6, 86
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\Notification\NotificationDropDown.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 0, 0, 13, 135
"c:\Users\Admin\Downloads\HCMUT-Study\src\components\Notification\NotificationModal.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 17, 165
